,Vial no.,1,2,3,4,5,6,7,8,9,10,,,,,,,,,,,,,,,,,,,,,,
,710,-0.0476861,0.329834,0.962599,1.11925,1.13713,1.0061,1.30311,1.33088,0.86531,0.980017,,,,,,,,,,,,,,,,,,,,,,
,720,0.0213848,0.139646,0.762458,0.855525,0.94075,1.28818,1.04456,0.938929,1.41867,0.553177,,,,,,,,,,,,,,,,,,,,,,
,730,0.092543,0.263505,0.574646,1.32462,1.10789,1.36231,0.946668,1.1133,1.30333,0.81576,,,,,,,,,,,,,,,,,,,,,,
,740,0.0241708,0.237016,0.610268,1.15146,0.922627,0.859872,1.11577,0.680319,0.947111,0.865965,,,,,,,,,,,,,,,,,,,,,,
,750,0.0513207,0.316324,0.576688,0.76518,0.958759,0.943512,0.780764,1.01332,1.10921,1.46741,,,,,,,,,,,,,,,,,,,,,,
,760,0.0649265,0.11574,0.746941,0.791589,1.3149,1.04655,1.20887,0.747471,1.06695,0.85351,,,,,,,,,,,,,,,,,,,,,,
,770,0.0705295,0.360743,0.776014,0.702487,0.767819,0.958752,1.28303,0.732644,0.37955,1.00302,,,,,,,,,,,,,,,,,,,,,,
,780,0.0588275,0.257326,0.576082,0.638074,1.03092,1.11072,0.96438,0.869769,0.745494,0.679908,,,,,,,,,,,,,,,,,,,,,,
,790,-0.0135716,0.110511,0.49943,0.564425,0.279171,0.679776,0.910326,0.483198,1.43611,0.341405,,,,,,,,,,,,,,,,,,,,,,
,800,-0.0146658,0.151994,0.371198,0.520267,0.747108,0.914513,0.84674,0.518491,0.683215,0.681171,,,,,,,,,,,,,,,,,,,,,,
